"sanders_preference","party","race_white","gender","birthyr"
1,2,1,2,1961
0,1,1,2,1940
0,1,0,1,1986
0,3,0,1,1980
1,1,1,2,1947
0,2,1,2,1965
1,2,1,1,1954
1,2,1,2,1961
0,1,1,2,1951
1,3,1,1,1965
1,1,1,2,1950
1,2,1,2,1964
1,1,0,2,1943
0,3,0,2,1969
1,3,1,2,1943
1,3,1,2,1957
0,1,1,2,1961
0,1,1,2,1945
0,2,0,2,1955
1,2,0,2,1963
0,2,1,1,1976
1,2,0,2,1983
1,2,1,1,1954
1,3,1,2,1926
0,1,1,2,1972
1,3,1,1,1965
0,1,1,2,1955
0,2,1,2,1947
0,1,0,1,1951
1,2,1,1,1940
0,1,0,2,1984
0,1,1,2,1956
0,1,0,2,1960
1,1,1,2,1943
1,2,1,2,1972
0,1,1,2,1972
0,2,1,1,1974
1,2,1,1,1973
0,1,1,2,1946
0,3,1,1,1949
1,1,0,1,1968
0,1,1,2,1968
1,3,1,2,1960
0,2,1,2,1945
0,3,1,1,1981
1,1,0,1,1992
0,1,0,2,1950
0,2,1,1,1947
0,3,1,1,1975
0,3,1,2,1945
1,2,1,1,1942
0,1,0,2,1943
0,1,0,1,1951
0,1,1,2,1943
1,3,1,2,1956
1,2,1,2,1939
1,1,1,2,1954
1,2,1,1,1936
1,3,1,2,1963
1,2,0,1,1974
1,2,1,2,1985
1,3,1,2,1950
0,2,1,1,1954
0,3,1,2,1961
0,2,1,1,1943
0,2,0,2,1990
1,2,1,2,1966
0,2,1,1,1955
1,1,1,1,1953
1,2,0,2,1951
0,2,1,1,1951
1,3,1,2,1978
1,1,1,1,1949
1,1,1,1,1957
0,1,1,1,1981
1,2,1,1,1971
0,2,1,2,1943
0,3,1,2,1956
1,1,1,2,1960
1,3,0,2,1962
0,3,1,2,1962
0,1,0,2,1947
1,3,1,1,1958
1,2,1,1,1954
1,3,1,2,1958
1,1,1,1,1965
0,1,0,2,1955
0,3,1,2,1947
1,2,1,1,1993
1,3,1,2,1950
0,2,1,1,1967
0,2,1,1,1974
0,1,0,2,1965
0,1,0,1,1992
1,2,0,2,1982
0,1,0,2,1957
0,3,1,1,1954
0,3,1,1,1964
1,2,1,2,1988
1,2,1,1,1982
1,3,1,2,1973
0,2,0,1,1952
1,1,1,2,1957
0,1,0,1,1975
0,1,1,2,1984
1,3,1,1,1982
1,2,1,1,1952
1,2,1,1,1945
0,2,0,1,1956
1,1,1,2,1980
1,2,1,2,1973
1,2,1,1,1974
0,1,0,2,1949
0,3,1,1,1945
0,1,0,2,1957
0,2,1,2,1940
0,1,0,1,1988
0,1,0,1,1945
1,3,1,2,1954
1,1,0,2,1975
1,2,1,1,1961
1,2,1,2,1961
1,1,1,2,1960
0,2,0,1,1947
1,2,1,2,1953
1,3,1,1,1950
1,1,1,2,1980
0,1,1,2,1955
1,3,1,2,1942
1,3,1,1,1927
0,2,1,1,1950
0,2,0,2,1957
1,2,1,1,1952
0,1,0,1,1975
1,2,0,2,1980
1,3,1,1,1946
1,2,1,1,1945
1,2,1,1,1954
1,2,1,2,1956
0,3,1,2,1958
1,2,1,1,1957
1,2,1,1,1956
1,2,1,2,1948
0,1,0,2,1953
1,2,1,1,1954
1,1,1,2,1951
1,3,1,2,1960
1,3,1,2,1959
1,3,1,2,1953
1,1,0,2,1950
0,3,1,1,1937
0,3,1,1,1964
1,3,1,2,1961
0,2,1,1,1953
1,2,1,2,1956
1,2,1,1,1953
0,3,1,2,1964
1,1,0,1,1976
1,2,1,1,1942
NA,1,1,2,1961
0,2,1,1,1952
0,2,1,2,1956
1,3,1,1,1968
1,3,1,1,1972
1,1,1,2,1965
1,2,1,2,1958
0,2,0,2,1960
1,1,1,1,1989
0,2,1,1,1950
0,1,0,2,1967
0,1,1,2,1944
1,2,1,1,1949
0,1,1,2,1980
0,1,1,2,1966
0,1,1,1,1980
1,3,0,1,1989
1,3,1,1,1970
1,1,1,1,1945
0,2,1,2,1990
0,2,0,1,1946
0,1,0,1,1961
1,2,0,2,1984
0,2,1,1,1994
1,3,1,2,1938
0,3,1,2,1971
1,3,1,2,1986
0,1,1,1,1951
1,3,0,2,1983
1,3,1,2,1942
0,1,0,2,1961
1,2,1,2,1945
0,1,0,1,1974
1,1,1,1,1952
0,2,1,2,1977
0,1,1,2,1941
1,2,0,1,1974
0,1,1,2,1968
1,3,0,1,1957
1,1,0,2,1959
1,3,1,2,1955
0,1,1,1,1949
0,2,0,1,1962
1,1,1,1,1951
0,3,1,2,1953
1,3,0,2,1959
0,1,0,2,1973
0,1,1,2,1945
1,3,1,2,1959
1,1,1,2,1985
0,1,1,2,1938
0,2,0,1,1958
1,1,1,2,1956
1,1,1,2,1982
0,1,0,2,1977
0,1,0,1,1960
0,2,1,2,1964
0,3,0,2,1938
0,1,0,1,1949
1,3,1,2,1962
1,1,0,1,1980
0,2,0,2,1974
0,3,1,1,1948
0,2,1,2,1946
0,1,1,2,1933
0,2,1,1,1959
1,3,1,1,1949
1,2,1,1,1964
1,3,1,1,1959
1,3,1,1,1952
1,1,1,1,1954
1,2,1,2,1953
0,1,1,1,1959
1,3,1,2,1942
1,2,1,1,1953
0,1,1,1,1955
